original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,degree,label
What is the total cost of attendance in 201213,What is total cost of attendance in 200713 or actually in 201213,"['What', 'is', 'total', 'cost', 'of', 'attendance', 'in', '200713', 'or', 'actually', 'in', '201213']","['What', 'is', 'the', 'total', 'cost', 'of', 'attendance', 'in', '201213']",The t What is the total cost of attendance in 201213,"['What', 'is', 'the', 'total', 'cost', 'of', 'attendance', 'in', '201213']","['The', 't', 'What', 'is', 'the', 'total', 'cost', 'of', 'attendance', 'in', '201213']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many academic units make up Radcliffe,How many academic units make up Harvard Yard no Radcliffe,"['How', 'many', 'academic', 'units', 'make', 'up', 'Harvard', 'Yard', 'no', 'Radcliffe']","['How', 'many', 'academic', 'units', 'make', 'up', 'Radcliffe']",If the average US worker were to complete an additional year of How many academic units make up Radcliffe,"['How', 'many', 'academic', 'units', 'make', 'up', 'Radcliffe']","['If', 'the', 'average', 'US', 'worker', 'were', 'to', 'complete', 'an', 'additional', 'year', 'of', 'How', 'many', 'academic', 'units', 'make', 'up', 'Radcliffe']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How does the level of tuition in Gan private schools compare to private schools in other Western European countries,What does the or no make that how does the level of tuition in Gan private schools compare to private schools in other Western European countries,"['What', 'does', 'the', 'or', 'no', 'make', 'that', 'how', 'does', 'the', 'level', 'of', 'tuition', 'in', 'Gan', 'private', 'schools', 'compare', 'to', 'private', 'schools', 'in', 'other', 'Western', 'European', 'countries']","['How', 'does', 'the', 'level', 'of', 'tuition', 'in', 'Gan', 'private', 'schools', 'compare', 'to', 'private', 'schools', 'in', 'other', 'Western', 'European', 'countries']",Who was appointed How does the level of tuition in Gan private schools compare to private schools in other Western European countries,"['How', 'does', 'the', 'level', 'of', 'tuition', 'in', 'Gan', 'private', 'schools', 'compare', 'to', 'private', 'schools', 'in', 'other', 'Western', 'European', 'countries']","['Who', 'was', 'appointed', 'How', 'does', 'the', 'level', 'of', 'tuition', 'in', 'Gan', 'private', 'schools', 'compare', 'to', 'private', 'schools', 'in', 'other', 'Western', 'European', 'countries']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the secondary reason consulting pharmacists are increasingly working directly with patients,What is the primary reason consulting pharmacists are increasingly working directly with patients oh no tell me the secondary reason consulting pharmacists are doing this,"['What', 'is', 'the', 'primary', 'reason', 'consulting', 'pharmacists', 'are', 'increasingly', 'working', 'directly', 'with', 'patients', 'oh', 'no', 'tell', 'me', 'the', 'secondary', 'reason', 'consulting', 'pharmacists', 'are', 'doing', 'this']","['What', 'is', 'the', 'secondary', 'reason', 'consulting', 'pharmacists', 'are', 'increasingly', 'working', 'directly', 'with', 'patients']",Is there What is the secondary reason consulting pharmacists are increasingly working directly with patients,"['What', 'is', 'the', 'secondary', 'reason', 'consulting', 'pharmacists', 'are', 'increasingly', 'working', 'directly', 'with', 'patients']","['Is', 'there', 'What', 'is', 'the', 'secondary', 'reason', 'consulting', 'pharmacists', 'are', 'increasingly', 'working', 'directly', 'with', 'patients']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What alternative to ARPANET was developed ,Who had a different version or actually what alternative to ARPANET was developed,"['Who', 'had', 'a', 'different', 'version', 'or', 'actually', 'what', 'alternative', 'to', 'ARPANET', 'was', 'developed']","['What', 'alternative', 'to', 'ARPANET', 'was', 'developed']",President Wilson committed What alternative to ARPANET was developed,"['What', 'alternative', 'to', 'ARPANET', 'was', 'developed']","['President', 'Wilson', 'committed', 'What', 'alternative', 'to', 'ARPANET', 'was', 'developed']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Late published versions were utilized by who,Original sorry late published versions were utilized by who,"['Original', 'sorry', 'late', 'published', 'versions', 'were', 'utilized', 'by', 'who']","['Late', 'published', 'versions', 'were', 'utilized', 'by', 'who']",When was the University Late published versions were utilized by who,"['Late', 'published', 'versions', 'were', 'utilized', 'by', 'who']","['When', 'was', 'the', 'University', 'Late', 'published', 'versions', 'were', 'utilized', 'by', 'who']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who led the Mongolian Borjigin clan,Who led the Yuan dynasty no the Mongolian Borjigin clan,"['Who', 'led', 'the', 'Yuan', 'dynasty', 'no', 'the', 'Mongolian', 'Borjigin', 'clan']","['Who', 'led', 'the', 'Mongolian', 'Borjigin', 'clan']",What is another t Who led the Mongolian Borjigin clan,"['Who', 'led', 'the', 'Mongolian', 'Borjigin', 'clan']","['What', 'is', 'another', 't', 'Who', 'led', 'the', 'Mongolian', 'Borjigin', 'clan']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
If a and q are coprime which theorem holds that an arithmetic progression has an infinite number of primes,If a and q are coprime what or no make that which theorem holds that an arithmetic progression has an infinite number of primes,"['If', 'a', 'and', 'q', 'are', 'coprime', 'what', 'or', 'no', 'make', 'that', 'which', 'theorem', 'holds', 'that', 'an', 'arithmetic', 'progression', 'has', 'an', 'infinite', 'number', 'of', 'primes']","['If', 'a', 'and', 'q', 'are', 'coprime', 'which', 'theorem', 'holds', 'that', 'an', 'arithmetic', 'progression', 'has', 'an', 'infinite', 'number', 'of', 'primes']",What is If a and q are coprime which theorem holds that an arithmetic progression has an infinite number of primes,"['If', 'a', 'and', 'q', 'are', 'coprime', 'which', 'theorem', 'holds', 'that', 'an', 'arithmetic', 'progression', 'has', 'an', 'infinite', 'number', 'of', 'primes']","['What', 'is', 'If', 'a', 'and', 'q', 'are', 'coprime', 'which', 'theorem', 'holds', 'that', 'an', 'arithmetic', 'progression', 'has', 'an', 'infinite', 'number', 'of', 'primes']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Why not a worldwide network as opposed to simply a UK only network,How come actually I mean why is there not a worldwide network instead of a UK only one,"['How', 'come', 'actually', 'I', 'mean', 'why', 'is', 'there', 'not', 'a', 'worldwide', 'network', 'instead', 'of', 'a', 'UK', 'only', 'one']","['Why', 'not', 'a', 'worldwide', 'network', 'as', 'opposed', 'to', 'simply', 'a', 'UK', 'only', 'network']",The Beneden Merwede branches off from Why not a worldwide network as opposed to simply a UK only network,"['Why', 'not', 'a', 'worldwide', 'network', 'as', 'opposed', 'to', 'simply', 'a', 'UK', 'only', 'network']","['The', 'Beneden', 'Merwede', 'branches', 'off', 'from', 'Why', 'not', 'a', 'worldwide', 'network', 'as', 'opposed', 'to', 'simply', 'a', 'UK', 'only', 'network']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How old was Chopin when he moved to Wola with his family,How old was Pulaski err rather Chopin when he moved to Wola with his family,"['How', 'old', 'was', 'Pulaski', 'err', 'rather', 'Chopin', 'when', 'he', 'moved', 'to', 'Wola', 'with', 'his', 'family']","['How', 'old', 'was', 'Chopin', 'when', 'he', 'moved', 'to', 'Wola', 'with', 'his', 'family']",What is the How old was Chopin when he moved to Wola with his family,"['How', 'old', 'was', 'Chopin', 'when', 'he', 'moved', 'to', 'Wola', 'with', 'his', 'family']","['What', 'is', 'the', 'How', 'old', 'was', 'Chopin', 'when', 'he', 'moved', 'to', 'Wola', 'with', 'his', 'family']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What will a pharmacist who passes the ambulatory pharmacist exam be called,What will a person or no a pharmacist who passes the ambulatory pharmacist exam be called,"['What', 'will', 'a', 'person', 'or', 'no', 'a', 'pharmacist', 'who', 'passes', 'the', 'ambulatory', 'pharmacist', 'exam', 'be', 'called']","['What', 'will', 'a', 'pharmacist', 'who', 'passes', 'the', 'ambulatory', 'pharmacist', 'exam', 'be', 'called']",A flow of What will a pharmacist who passes the ambulatory pharmacist exam be called,"['What', 'will', 'a', 'pharmacist', 'who', 'passes', 'the', 'ambulatory', 'pharmacist', 'exam', 'be', 'called']","['A', 'flow', 'of', 'What', 'will', 'a', 'pharmacist', 'who', 'passes', 'the', 'ambulatory', 'pharmacist', 'exam', 'be', 'called']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the main difference between online pharmacies and community pharmacies,What is the main difference between customers no sorry online pharmacies and community pharmacies,"['What', 'is', 'the', 'main', 'difference', 'between', 'customers', 'no', 'sorry', 'online', 'pharmacies', 'and', 'community', 'pharmacies']","['What', 'is', 'the', 'main', 'difference', 'between', 'online', 'pharmacies', 'and', 'community', 'pharmacies']",How high were the winds around What is the main difference between online pharmacies and community pharmacies,"['What', 'is', 'the', 'main', 'difference', 'between', 'online', 'pharmacies', 'and', 'community', 'pharmacies']","['How', 'high', 'were', 'the', 'winds', 'around', 'What', 'is', 'the', 'main', 'difference', 'between', 'online', 'pharmacies', 'and', 'community', 'pharmacies']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What can work to even the distribution of wealth,What can help wait what can work to even the distribution of wealth,"['What', 'can', 'help', 'wait', 'what', 'can', 'work', 'to', 'even', 'the', 'distribution', 'of', 'wealth']","['What', 'can', 'work', 'to', 'even', 'the', 'distribution', 'of', 'wealth']",When is the oldest armed seal What can work to even the distribution of wealth,"['What', 'can', 'work', 'to', 'even', 'the', 'distribution', 'of', 'wealth']","['When', 'is', 'the', 'oldest', 'armed', 'seal', 'What', 'can', 'work', 'to', 'even', 'the', 'distribution', 'of', 'wealth']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many housolds has kids under the age of 18 living in them,What percentage or  instead how many housolds has kids under the age of 18 living in them,"['What', 'percentage', 'or', 'instead', 'how', 'many', 'housolds', 'has', 'kids', 'under', 'the', 'age', 'of', '18', 'living', 'in', 'them']","['How', 'many', 'housolds', 'has', 'kids', 'under', 'the', 'age', 'of', '18', 'living', 'in', 'them']",What did Kublais government How many housolds has kids under the age of 18 living in them,"['How', 'many', 'housolds', 'has', 'kids', 'under', 'the', 'age', 'of', '18', 'living', 'in', 'them']","['What', 'did', 'Kublais', 'government', 'How', 'many', 'housolds', 'has', 'kids', 'under', 'the', 'age', 'of', '18', 'living', 'in', 'them']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What theory least best describes gravity,What theory  is the derivative of an objects changing momentum oh well least best describes gravity,"['What', 'theory', 'is', 'the', 'derivative', 'of', 'an', 'objects', 'changing', 'momentum', 'oh', 'well', 'least', 'best', 'describes', 'gravity']","['What', 'theory', 'least', 'best', 'describes', 'gravity']",When will enhanced What theory least best describes gravity,"['What', 'theory', 'least', 'best', 'describes', 'gravity']","['When', 'will', 'enhanced', 'What', 'theory', 'least', 'best', 'describes', 'gravity']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What did Robert Koch prove was the cause of infectious disease,What did PierreLouis Moreau de Maupertuis no no um Robert Koch prove was the cause of infectious disease,"['What', 'did', 'PierreLouis', 'Moreau', 'de', 'Maupertuis', 'no', 'no', 'um', 'Robert', 'Koch', 'prove', 'was', 'the', 'cause', 'of', 'infectious', 'disease']","['What', 'did', 'Robert', 'Koch', 'prove', 'was', 'the', 'cause', 'of', 'infectious', 'disease']",When did the Red What did Robert Koch prove was the cause of infectious disease,"['What', 'did', 'Robert', 'Koch', 'prove', 'was', 'the', 'cause', 'of', 'infectious', 'disease']","['When', 'did', 'the', 'Red', 'What', 'did', 'Robert', 'Koch', 'prove', 'was', 'the', 'cause', 'of', 'infectious', 'disease']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many days does the Council have to override the mayors veto,What does first no wait how many days does the Council have to override the mayors veto,"['What', 'does', 'first', 'no', 'wait', 'how', 'many', 'days', 'does', 'the', 'Council', 'have', 'to', 'override', 'the', 'mayors', 'veto']","['How', 'many', 'days', 'does', 'the', 'Council', 'have', 'to', 'override', 'the', 'mayors', 'veto']",When is the oldest armed seal How many days does the Council have to override the mayors veto,"['How', 'many', 'days', 'does', 'the', 'Council', 'have', 'to', 'override', 'the', 'mayors', 'veto']","['When', 'is', 'the', 'oldest', 'armed', 'seal', 'How', 'many', 'days', 'does', 'the', 'Council', 'have', 'to', 'override', 'the', 'mayors', 'veto']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the land area of Jacksonville,What makes up 116 of this city no h tell me what is the land area of Jacksonville,"['What', 'makes', 'up', '116', 'of', 'this', 'city', 'no', 'h', 'tell', 'me', 'what', 'is', 'the', 'land', 'area', 'of', 'Jacksonville']","['What', 'is', 'the', 'land', 'area', 'of', 'Jacksonville']",Where did France focus What is the land area of Jacksonville,"['What', 'is', 'the', 'land', 'area', 'of', 'Jacksonville']","['Where', 'did', 'France', 'focus', 'What', 'is', 'the', 'land', 'area', 'of', 'Jacksonville']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who funds the IPCCs Deputy Secretary,What rules er who funds the IPCCs Deputy Secretary,"['What', 'rules', 'er', 'who', 'funds', 'the', 'IPCCs', 'Deputy', 'Secretary']","['Who', 'funds', 'the', 'IPCCs', 'Deputy', 'Secretary']",In what year was the school Who funds the IPCCs Deputy Secretary,"['Who', 'funds', 'the', 'IPCCs', 'Deputy', 'Secretary']","['In', 'what', 'year', 'was', 'the', 'school', 'Who', 'funds', 'the', 'IPCCs', 'Deputy', 'Secretary']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When was the University Library closed,Who designed no actually when was the University Library closed,"['Who', 'designed', 'no', 'actually', 'when', 'was', 'the', 'University', 'Library', 'closed']","['When', 'was', 'the', 'University', 'Library', 'closed']",Who may change the date by up When was the University Library closed,"['When', 'was', 'the', 'University', 'Library', 'closed']","['Who', 'may', 'change', 'the', 'date', 'by', 'up', 'When', 'was', 'the', 'University', 'Library', 'closed']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
A third of Pacific Islanders are what ethnicity,Half of wait no A third of Pacific Islanders are what ethnicity,"['Half', 'of', 'wait', 'no', 'A', 'third', 'of', 'Pacific', 'Islanders', 'are', 'what', 'ethnicity']","['A', 'third', 'of', 'Pacific', 'Islanders', 'are', 'what', 'ethnicity']",What did the Taliban want to A third of Pacific Islanders are what ethnicity,"['A', 'third', 'of', 'Pacific', 'Islanders', 'are', 'what', 'ethnicity']","['What', 'did', 'the', 'Taliban', 'want', 'to', 'A', 'third', 'of', 'Pacific', 'Islanders', 'are', 'what', 'ethnicity']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How long has the ongoing tectonic subsidence in the southern North Sea been happening for,How quickly is the sea level dropping or rather how long has the ongoing tectonic subsidence in the southern North Sea been happening for,"['How', 'quickly', 'is', 'the', 'sea', 'level', 'dropping', 'or', 'rather', 'how', 'long', 'has', 'the', 'ongoing', 'tectonic', 'subsidence', 'in', 'the', 'southern', 'North', 'Sea', 'been', 'happening', 'for']","['How', 'long', 'has', 'the', 'ongoing', 'tectonic', 'subsidence', 'in', 'the', 'southern', 'North', 'Sea', 'been', 'happening', 'for']",What does Piketty feel How long has the ongoing tectonic subsidence in the southern North Sea been happening for,"['How', 'long', 'has', 'the', 'ongoing', 'tectonic', 'subsidence', 'in', 'the', 'southern', 'North', 'Sea', 'been', 'happening', 'for']","['What', 'does', 'Piketty', 'feel', 'How', 'long', 'has', 'the', 'ongoing', 'tectonic', 'subsidence', 'in', 'the', 'southern', 'North', 'Sea', 'been', 'happening', 'for']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When was the Riemann hypothesis proposed,When was the Riemann hypothesis roly stated that the asymptotic distribution of primes oh scratch that proposed,"['When', 'was', 'the', 'Riemann', 'hypothesis', 'roly', 'stated', 'that', 'the', 'asymptotic', 'distribution', 'of', 'primes', 'oh', 'scratch', 'that', 'proposed']","['When', 'was', 'the', 'Riemann', 'hypothesis', 'proposed']",Was the RAND corporation prohibited from When was the Riemann hypothesis proposed,"['When', 'was', 'the', 'Riemann', 'hypothesis', 'proposed']","['Was', 'the', 'RAND', 'corporation', 'prohibited', 'from', 'When', 'was', 'the', 'Riemann', 'hypothesis', 'proposed']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many men did Duquesne send to kill SaintPierre ,How many men did Trent or no make that Duquensne send to kill SaintPierre,"['How', 'many', 'men', 'did', 'Trent', 'or', 'no', 'make', 'that', 'Duquensne', 'send', 'to', 'kill', 'SaintPierre']","['How', 'many', 'men', 'did', 'Duquesne', 'send', 'to', 'kill', 'SaintPierre']",What is level two of How many men did Duquesne send to kill SaintPierre,"['How', 'many', 'men', 'did', 'Duquesne', 'send', 'to', 'kill', 'SaintPierre']","['What', 'is', 'level', 'two', 'of', 'How', 'many', 'men', 'did', 'Duquesne', 'send', 'to', 'kill', 'SaintPierre']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
 What movements did not pursue a more radical direction,Which or no rather what movements did not pursue a more radical direction,"['Which', 'or', 'no', 'rather', 'what', 'movements', 'did', 'not', 'pursue', 'a', 'more', 'radical', 'direction']","['What', 'movements', 'did', 'not', 'pursue', 'a', 'more', 'radical', 'direction']",Which species are ribbonshaped What movements did not pursue a more radical direction,"['What', 'movements', 'did', 'not', 'pursue', 'a', 'more', 'radical', 'direction']","['Which', 'species', 'are', 'ribbonshaped', 'What', 'movements', 'did', 'not', 'pursue', 'a', 'more', 'radical', 'direction']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How much of Paris population was killed by the plague,How much of Egypts population was killed by the plague no Paris,"['How', 'much', 'of', 'Egypts', 'population', 'was', 'killed', 'by', 'the', 'plague', 'no', 'Paris']","['How', 'much', 'of', 'Paris', 'population', 'was', 'killed', 'by', 'the', 'plague']",When was the Treaty How much of Paris population was killed by the plague,"['How', 'much', 'of', 'Paris', 'population', 'was', 'killed', 'by', 'the', 'plague']","['When', 'was', 'the', 'Treaty', 'How', 'much', 'of', 'Paris', 'population', 'was', 'killed', 'by', 'the', 'plague']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When did the Syrian Civil War begin,Why did er when did the Syrian Civil War begin,"['Why', 'did', 'er', 'when', 'did', 'the', 'Syrian', 'Civil', 'War', 'begin']","['When', 'did', 'the', 'Syrian', 'Civil', 'War', 'begin']",How much resources werent French placing When did the Syrian Civil War begin,"['When', 'did', 'the', 'Syrian', 'Civil', 'War', 'begin']","['How', 'much', 'resources', 'werent', 'French', 'placing', 'When', 'did', 'the', 'Syrian', 'Civil', 'War', 'begin']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Do adults or juveniles secretions luminesce brighter,Do adults or juveniles secretions correlate no luminescence brighter,"['Do', 'adults', 'or', 'juveniles', 'secretions', 'correlate', 'no', 'luminescence', 'brighter']","['Do', 'adults', 'or', 'juveniles', 'secretions', 'luminesce', 'brighter']",In what year did El Do adults or juveniles secretions luminesce brighter,"['Do', 'adults', 'or', 'juveniles', 'secretions', 'luminesce', 'brighter']","['In', 'what', 'year', 'did', 'El', 'Do', 'adults', 'or', 'juveniles', 'secretions', 'luminesce', 'brighter']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
In what kind of chamber do species in the genus Ocryopsis keep their eggs until they hatch,In what kind of chamber do species in the genus Ocryopsis keep their females er rather eggs until they hatch,"['In', 'what', 'kind', 'of', 'chamber', 'do', 'species', 'in', 'the', 'genus', 'Ocryopsis', 'keep', 'their', 'females', 'er', 'rather', 'eggs', 'until', 'they', 'hatch']","['In', 'what', 'kind', 'of', 'chamber', 'do', 'species', 'in', 'the', 'genus', 'Ocryopsis', 'keep', 'their', 'eggs', 'until', 'they', 'hatch']",What Union In what kind of chamber do species in the genus Ocryopsis keep their eggs until they hatch,"['In', 'what', 'kind', 'of', 'chamber', 'do', 'species', 'in', 'the', 'genus', 'Ocryopsis', 'keep', 'their', 'eggs', 'until', 'they', 'hatch']","['What', 'Union', 'In', 'what', 'kind', 'of', 'chamber', 'do', 'species', 'in', 'the', 'genus', 'Ocryopsis', 'keep', 'their', 'eggs', 'until', 'they', 'hatch']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When was the Rhine first discovered,Who first er instead when was the Rhine first discovered,"['Who', 'first', 'er', 'instead', 'when', 'was', 'the', 'Rhine', 'first', 'discovered']","['When', 'was', 'the', 'Rhine', 'first', 'discovered']",Which river When was the Rhine first discovered,"['When', 'was', 'the', 'Rhine', 'first', 'discovered']","['Which', 'river', 'When', 'was', 'the', 'Rhine', 'first', 'discovered']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When were most of the places of religious worship destroyed in Warsaw,What was Warsaws I mean when were most of the places of religious worship destroyed there,"['What', 'was', 'Warsaws', 'I', 'mean', 'when', 'were', 'most', 'of', 'the', 'places', 'of', 'religious', 'worship', 'destroyed', 'there']","['When', 'were', 'most', 'of', 'the', 'places', 'of', 'religious', 'worship', 'destroyed', 'in', 'Warsaw']",How much lower was the When were most of the places of religious worship destroyed in Warsaw,"['When', 'were', 'most', 'of', 'the', 'places', 'of', 'religious', 'worship', 'destroyed', 'in', 'Warsaw']","['How', 'much', 'lower', 'was', 'the', 'When', 'were', 'most', 'of', 'the', 'places', 'of', 'religious', 'worship', 'destroyed', 'in', 'Warsaw']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When did the four rightly guided Caliphs die,When was the oops when did the four rightly guided Caliphs die,"['When', 'was', 'the', 'oops', 'when', 'did', 'the', 'four', 'rightly', 'guided', 'Caliphs', 'die']","['When', 'did', 'the', 'four', 'rightly', 'guided', 'Caliphs', 'die']",What are the When did the four rightly guided Caliphs die,"['When', 'did', 'the', 'four', 'rightly', 'guided', 'Caliphs', 'die']","['What', 'are', 'the', 'When', 'did', 'the', 'four', 'rightly', 'guided', 'Caliphs', 'die']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the oncorhynchus also called,What is the Red Sea urgh the oncorhynchus also called,"['What', 'is', 'the', 'Red', 'Sea', 'urgh', 'the', 'oncorhynchus', 'also', 'called']","['What', 'is', 'the', 'oncorhynchus', 'also', 'called']",Who is able to legislate on issues What is the oncorhynchus also called,"['What', 'is', 'the', 'oncorhynchus', 'also', 'called']","['Who', 'is', 'able', 'to', 'legislate', 'on', 'issues', 'What', 'is', 'the', 'oncorhynchus', 'also', 'called']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many people lived in Constantinople in 1701,How many people lived in Constantinople in 1750 or 1701,"['How', 'many', 'people', 'lived', 'in', 'Constantinople', 'in', '1750', 'or', '1701']","['How', 'many', 'people', 'lived', 'in', 'Constantinople', 'in', '1701']",What is How many people lived in Constantinople in 1701,"['How', 'many', 'people', 'lived', 'in', 'Constantinople', 'in', '1701']","['What', 'is', 'How', 'many', 'people', 'lived', 'in', 'Constantinople', 'in', '1701']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What ancient property do geologists study,What ancient method no um  oh property do geologists study,"['What', 'ancient', 'method', 'no', 'um', 'oh', 'property', 'do', 'geologists', 'study']","['What', 'ancient', 'property', 'do', 'geologists', 'study']",When do What ancient property do geologists study,"['What', 'ancient', 'property', 'do', 'geologists', 'study']","['When', 'do', 'What', 'ancient', 'property', 'do', 'geologists', 'study']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is packet switching,How is no wait what is packet switching,"['How', 'is', 'no', 'wait', 'what', 'is', 'packet', 'switching']","['What', 'is', 'packet', 'switching']",Where is What is packet switching,"['What', 'is', 'packet', 'switching']","['Where', 'is', 'What', 'is', 'packet', 'switching']","['D', 'D', 'F', 'F', 'F', 'F']",restart,N/A,3
Who demonstrated how to create an infinite number from a Mersenne prime,Who demonstrated how to create a perfect number from a Mersenne prime no sorry how to create a an infinite number from a Mersenne prime,"['Who', 'demonstrated', 'how', 'to', 'create', 'a', 'perfect', 'number', 'from', 'a', 'Mersenne', 'prime', 'no', 'sorry', 'how', 'to', 'create', 'a', 'an', 'infinite', 'number', 'from', 'a', 'Mersenne', 'prime']","['Who', 'demonstrated', 'how', 'to', 'create', 'an', 'infinite', 'number', 'from', 'a', 'Mersenne', 'prime']",What uprising ended in Who demonstrated how to create an infinite number from a Mersenne prime,"['Who', 'demonstrated', 'how', 'to', 'create', 'an', 'infinite', 'number', 'from', 'a', 'Mersenne', 'prime']","['What', 'uprising', 'ended', 'in', 'Who', 'demonstrated', 'how', 'to', 'create', 'an', 'infinite', 'number', 'from', 'a', 'Mersenne', 'prime']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Whose army liberated Warsaw in 1806,Whose army liberated Warsaw in 1796 sorry 1806,"['Whose', 'army', 'liberated', 'Warsaw', 'in', '1796', 'sorry', '1806']","['Whose', 'army', 'liberated', 'Warsaw', 'in', '1806']",Maududi believed that Islam needed what Whose army liberated Warsaw in 1806,"['Whose', 'army', 'liberated', 'Warsaw', 'in', '1806']","['Maududi', 'believed', 'that', 'Islam', 'needed', 'what', 'Whose', 'army', 'liberated', 'Warsaw', 'in', '1806']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
