original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
What well known political scientists are currently on the universitys faculty,What paleontologists no  what well known political scientists are currently on the universitys faculty,"['What', 'paleontologists', 'no', 'what', 'well', 'known', 'political', 'scientists', 'are', 'currently', 'on', 'the', 'universitys', 'faculty']","['What', 'well', 'known', 'political', 'scientists', 'are', 'currently', 'on', 'the', 'universitys', 'faculty']",What well know well I actually mean well known political scientists are currently on the universitys faculty,"['What', 'well', 'known', 'political', 'scientists', 'are', 'currently', 'on', 'the', 'universitys', 'faculty']","['What', 'well', 'know', 'well', 'I', 'actually', 'mean', 'well', 'known', 'political', 'scientists', 'are', 'currently', 'on', 'the', 'universitys', 'faculty']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What time framd does the Seven Years War cover,What event I mean time frame does the Seven Years War cover,"['What', 'event', 'I', 'mean', 'time', 'frame', 'does', 'the', 'Seven', 'Years', 'War', 'cover']","['What', 'time', 'framd', 'does', 'the', 'Seven', 'Years', 'War', 'cover']",What time framd do actually no time framd does the Seven Years War cover,"['What', 'time', 'framd', 'does', 'the', 'Seven', 'Years', 'War', 'cover']","['What', 'time', 'framd', 'do', 'actually', 'no', 'time', 'framd', 'does', 'the', 'Seven', 'Years', 'War', 'cover']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is one issue that adds to the complexity of a pharmacists job,What is one complexity  issue that adds to the complexity of a pharmacists job,"['What', 'is', 'one', 'complexity', 'issue', 'that', 'adds', 'to', 'the', 'complexity', 'of', 'a', 'pharmacists', 'job']","['What', 'is', 'one', 'issue', 'that', 'adds', 'to', 'the', 'complexity', 'of', 'a', 'pharmacists', 'job']",What be I am sorry is one issue that adds to the complexity of a pharmacists job,"['What', 'is', 'one', 'issue', 'that', 'adds', 'to', 'the', 'complexity', 'of', 'a', 'pharmacists', 'job']","['What', 'be', 'I', 'am', 'sorry', 'is', 'one', 'issue', 'that', 'adds', 'to', 'the', 'complexity', 'of', 'a', 'pharmacists', 'job']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What does civil disobedience protest against,What does civil rights movement protest against or rather civil disobedience what does it protest against,"['What', 'does', 'civil', 'rights', 'movement', 'protest', 'against', 'or', 'rather', 'civil', 'disobedience', 'what', 'does', 'it', 'protest', 'against']","['What', 'does', 'civil', 'disobedience', 'protest', 'against']",What do well I actually mean What does civil disobedience protest against,"['What', 'does', 'civil', 'disobedience', 'protest', 'against']","['What', 'do', 'well', 'I', 'actually', 'mean', 'What', 'does', 'civil', 'disobedience', 'protest', 'against']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What smaller weaker swimmers do amphipods feed on,What smaller weaker swimmers do spiders er   amphipods feed on,"['What', 'smaller', 'weaker', 'swimmers', 'do', 'spiders', 'er', 'amphipods', 'feed', 'on']","['What', 'smaller', 'weaker', 'swimmers', 'do', 'amphipods', 'feed', 'on']",What smaller weaker swimmers make wait a minute swimmers do amphipods feed on,"['What', 'smaller', 'weaker', 'swimmers', 'do', 'amphipods', 'feed', 'on']","['What', 'smaller', 'weaker', 'swimmers', 'make', 'wait', 'a', 'minute', 'swimmers', 'do', 'amphipods', 'feed', 'on']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Where were the Ganic tribes not originally located,How were the or no make that where were the Ganic tribes not originally located,"['How', 'were', 'the', 'or', 'no', 'make', 'that', 'where', 'were', 'the', 'Ganic', 'tribes', 'not', 'originally', 'located']","['Where', 'were', 'the', 'Ganic', 'tribes', 'not', 'originally', 'located']",Where were the Ganic tribes not originally place well I actually meant not originally located,"['Where', 'were', 'the', 'Ganic', 'tribes', 'not', 'originally', 'located']","['Where', 'were', 'the', 'Ganic', 'tribes', 'not', 'originally', 'place', 'well', 'I', 'actually', 'meant', 'not', 'originally', 'located']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
 Colonies were a sign of what amongst Asian countries,Colonies were a sign of what amongst South Pacific sorry  Asian countries,"['Colonies', 'were', 'a', 'sign', 'of', 'what', 'amongst', 'South', 'Pacific', 'sorry', 'Asian', 'countries']","['Colonies', 'were', 'a', 'sign', 'of', 'what', 'amongst', 'Asian', 'countries']",Colonies be no sorry Colonies were a sign of what amongst Asian countries,"['Colonies', 'were', 'a', 'sign', 'of', 'what', 'amongst', 'Asian', 'countries']","['Colonies', 'be', 'no', 'sorry', 'Colonies', 'were', 'a', 'sign', 'of', 'what', 'amongst', 'Asian', 'countries']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What are those from Jacksonville sometimes called,no question,"['no', 'question']","['What', 'are', 'those', 'from', 'Jacksonville', 'sometimes', 'called']",What be sorry What are those from Jacksonville sometimes called,"['What', 'are', 'those', 'from', 'Jacksonville', 'sometimes', 'called']","['What', 'be', 'sorry', 'What', 'are', 'those', 'from', 'Jacksonville', 'sometimes', 'called']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What region of the Rhine was changed by the Rhine Straightening program,What region of the Rhine was changed by the Grand Canal dAlsace no the Rhine Straightening program,"['What', 'region', 'of', 'the', 'Rhine', 'was', 'changed', 'by', 'the', 'Grand', 'Canal', 'dAlsace', 'no', 'the', 'Rhine', 'Straightening', 'program']","['What', 'region', 'of', 'the', 'Rhine', 'was', 'changed', 'by', 'the', 'Rhine', 'Straightening', 'program']",What region of the Rhine was change no sorry was changed by the Rhine Straightening program,"['What', 'region', 'of', 'the', 'Rhine', 'was', 'changed', 'by', 'the', 'Rhine', 'Straightening', 'program']","['What', 'region', 'of', 'the', 'Rhine', 'was', 'change', 'no', 'sorry', 'was', 'changed', 'by', 'the', 'Rhine', 'Straightening', 'program']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What was the Yuans plastic money called,What was the Chaos not that the Yuans plastic money called,"['What', 'was', 'the', 'Chaos', 'not', 'that', 'the', 'Yuans', 'plastic', 'money', 'called']","['What', 'was', 'the', 'Yuans', 'plastic', 'money', 'called']",What be no i meant to say What was the Yuans plastic money called,"['What', 'was', 'the', 'Yuans', 'plastic', 'money', 'called']","['What', 'be', 'no', 'i', 'meant', 'to', 'say', 'What', 'was', 'the', 'Yuans', 'plastic', 'money', 'called']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What kind of animals are cilia considered,What kind of animals are ctenophores  cilia considered,"['What', 'kind', 'of', 'animals', 'are', 'ctenophores', 'cilia', 'considered']","['What', 'kind', 'of', 'animals', 'are', 'cilia', 'considered']",What kind of animals be wait are cilia considered,"['What', 'kind', 'of', 'animals', 'are', 'cilia', 'considered']","['What', 'kind', 'of', 'animals', 'be', 'wait', 'are', 'cilia', 'considered']","['F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
If a force is pointing horizontally to the northeast how many forces can you split the force into,If a force is pointing horizontally to the northeast how many components no sorry forces can you split the force into,"['If', 'a', 'force', 'is', 'pointing', 'horizontally', 'to', 'the', 'northeast', 'how', 'many', 'components', 'no', 'sorry', 'forces', 'can', 'you', 'split', 'the', 'force', 'into']","['If', 'a', 'force', 'is', 'pointing', 'horizontally', 'to', 'the', 'northeast', 'how', 'many', 'forces', 'can', 'you', 'split', 'the', 'force', 'into']",If a force is pointing horizontally to the northeast how many forces can you separate actually no split the force into,"['If', 'a', 'force', 'is', 'pointing', 'horizontally', 'to', 'the', 'northeast', 'how', 'many', 'forces', 'can', 'you', 'split', 'the', 'force', 'into']","['If', 'a', 'force', 'is', 'pointing', 'horizontally', 'to', 'the', 'northeast', 'how', 'many', 'forces', 'can', 'you', 'separate', 'actually', 'no', 'split', 'the', 'force', 'into']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Where werent populations centered in colonies,How nope I mean where werent populations centered in colonies,"['How', 'nope', 'I', 'mean', 'where', 'werent', 'populations', 'centered', 'in', 'colonies']","['Where', 'werent', 'populations', 'centered', 'in', 'colonies']",Where werent populations center I meant centered in colonies,"['Where', 'werent', 'populations', 'centered', 'in', 'colonies']","['Where', 'werent', 'populations', 'center', 'I', 'meant', 'centered', 'in', 'colonies']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is a requirement of online pharmacies that issue drugs without a prescription,What is a requirement of online pharmacies that issue drugs with no wait without a prescription,"['What', 'is', 'a', 'requirement', 'of', 'online', 'pharmacies', 'that', 'issue', 'drugs', 'with', 'no', 'wait', 'without', 'a', 'prescription']","['What', 'is', 'a', 'requirement', 'of', 'online', 'pharmacies', 'that', 'issue', 'drugs', 'without', 'a', 'prescription']",What be wait a minute is a requirement of online pharmacies that issue drugs without a prescription,"['What', 'is', 'a', 'requirement', 'of', 'online', 'pharmacies', 'that', 'issue', 'drugs', 'without', 'a', 'prescription']","['What', 'be', 'wait', 'a', 'minute', 'is', 'a', 'requirement', 'of', 'online', 'pharmacies', 'that', 'issue', 'drugs', 'without', 'a', 'prescription']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
The first vote of the ballot uses what method to tally the votes,The first vote of the ballot used which or no make that what method to tally the votes,"['The', 'first', 'vote', 'of', 'the', 'ballot', 'used', 'which', 'or', 'no', 'make', 'that', 'what', 'method', 'to', 'tally', 'the', 'votes']","['The', 'first', 'vote', 'of', 'the', 'ballot', 'uses', 'what', 'method', 'to', 'tally', 'the', 'votes']",The first vote of the ballot play I meant ballot uses what method to tally the votes,"['The', 'first', 'vote', 'of', 'the', 'ballot', 'uses', 'what', 'method', 'to', 'tally', 'the', 'votes']","['The', 'first', 'vote', 'of', 'the', 'ballot', 'play', 'I', 'meant', 'ballot', 'uses', 'what', 'method', 'to', 'tally', 'the', 'votes']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
His poem is considered the first kind of what type of protest,His poem is referenced by what type of figure in India no no just tell me what type of protest his poem is considered,"['His', 'poem', 'is', 'referenced', 'by', 'what', 'type', 'of', 'figure', 'in', 'India', 'no', 'no', 'just', 'tell', 'me', 'what', 'type', 'of', 'protest', 'his', 'poem', 'is', 'considered']","['His', 'poem', 'is', 'considered', 'the', 'first', 'kind', 'of', 'what', 'type', 'of', 'protest']",His poem is consider well I actually mean poem is considered the first kind of what type of protest,"['His', 'poem', 'is', 'considered', 'the', 'first', 'kind', 'of', 'what', 'type', 'of', 'protest']","['His', 'poem', 'is', 'consider', 'well', 'I', 'actually', 'mean', 'poem', 'is', 'considered', 'the', 'first', 'kind', 'of', 'what', 'type', 'of', 'protest']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What impact does higher worker productivity and leveled pay have on lower earners,How does or no make that what impact does higher worker productivity and leveled pay have on lower earners,"['How', 'does', 'or', 'no', 'make', 'that', 'what', 'impact', 'does', 'higher', 'worker', 'productivity', 'and', 'leveled', 'pay', 'have', 'on', 'lower', 'earners']","['What', 'impact', 'does', 'higher', 'worker', 'productivity', 'and', 'leveled', 'pay', 'have', 'on', 'lower', 'earners']",What impact does higher worker productivity and level no sorry productivity and leveled pay have on lower earners,"['What', 'impact', 'does', 'higher', 'worker', 'productivity', 'and', 'leveled', 'pay', 'have', 'on', 'lower', 'earners']","['What', 'impact', 'does', 'higher', 'worker', 'productivity', 'and', 'level', 'no', 'sorry', 'productivity', 'and', 'leveled', 'pay', 'have', 'on', 'lower', 'earners']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is the Island off of the Gan shore of the Rhine that this warm and cold water meet,How much or rather what is the Island off of the Gan shore of the Rhine that this warm and cold water meet,"['How', 'much', 'or', 'rather', 'what', 'is', 'the', 'Island', 'off', 'of', 'the', 'Gan', 'shore', 'of', 'the', 'Rhine', 'that', 'this', 'warm', 'and', 'cold', 'water', 'meet']","['What', 'is', 'the', 'Island', 'off', 'of', 'the', 'Gan', 'shore', 'of', 'the', 'Rhine', 'that', 'this', 'warm', 'and', 'cold', 'water', 'meet']",What be actually no What is the Island off of the Gan shore of the Rhine that this warm and cold water meet,"['What', 'is', 'the', 'Island', 'off', 'of', 'the', 'Gan', 'shore', 'of', 'the', 'Rhine', 'that', 'this', 'warm', 'and', 'cold', 'water', 'meet']","['What', 'be', 'actually', 'no', 'What', 'is', 'the', 'Island', 'off', 'of', 'the', 'Gan', 'shore', 'of', 'the', 'Rhine', 'that', 'this', 'warm', 'and', 'cold', 'water', 'meet']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Ediacaran eoandromeda can be regarded to represent what,Why are sorry Ediacaran eoandromeda can be regarded to represent what,"['Why', 'are', 'sorry', 'Ediacaran', 'eoandromeda', 'can', 'be', 'regarded', 'to', 'represent', 'what']","['Ediacaran', 'eoandromeda', 'can', 'be', 'regarded', 'to', 'represent', 'what']",Ediacaran eoandromeda can be regard actually no regarded to represent what,"['Ediacaran', 'eoandromeda', 'can', 'be', 'regarded', 'to', 'represent', 'what']","['Ediacaran', 'eoandromeda', 'can', 'be', 'regard', 'actually', 'no', 'regarded', 'to', 'represent', 'what']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Where can the entire sedimentary sequence of the Grand Canyon be seen in less than the length of a meter,Where is the location of well really where can the entire sedimentary sequence of the Grand Canyon be seen in less that a meter,"['Where', 'is', 'the', 'location', 'of', 'well', 'really', 'where', 'can', 'the', 'entire', 'sedimentary', 'sequence', 'of', 'the', 'Grand', 'Canyon', 'be', 'seen', 'in', 'less', 'that', 'a', 'meter']","['Where', 'can', 'the', 'entire', 'sedimentary', 'sequence', 'of', 'the', 'Grand', 'Canyon', 'be', 'seen', 'in', 'less', 'than', 'the', 'length', 'of', 'a', 'meter']",Where can the entire sedimentary sequence of the Grand Canyon lie no sorry be seen in less than the length of a meter,"['Where', 'can', 'the', 'entire', 'sedimentary', 'sequence', 'of', 'the', 'Grand', 'Canyon', 'be', 'seen', 'in', 'less', 'than', 'the', 'length', 'of', 'a', 'meter']","['Where', 'can', 'the', 'entire', 'sedimentary', 'sequence', 'of', 'the', 'Grand', 'Canyon', 'lie', 'no', 'sorry', 'be', 'seen', 'in', 'less', 'than', 'the', 'length', 'of', 'a', 'meter']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
 When was the Office of Eastern Medicine founded,When was the Office of Western sorry make that Eastern Medicine founded,"['When', 'was', 'the', 'Office', 'of', 'Western', 'sorry', 'make', 'that', 'Eastern', 'Medicine', 'founded']","['When', 'was', 'the', 'Office', 'of', 'Eastern', 'Medicine', 'founded']",When be no When was the Office of Eastern Medicine founded,"['When', 'was', 'the', 'Office', 'of', 'Eastern', 'Medicine', 'founded']","['When', 'be', 'no', 'When', 'was', 'the', 'Office', 'of', 'Eastern', 'Medicine', 'founded']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
How many geomorphologic formations is Warsaw on,How many moraine plateau no um geomorphologic formations is Warsaw on,"['How', 'many', 'moraine', 'plateau', 'no', 'um', 'geomorphologic', 'formations', 'is', 'Warsaw', 'on']","['How', 'many', 'geomorphologic', 'formations', 'is', 'Warsaw', 'on']",How many geomorphologic formations be I meant is Warsaw on,"['How', 'many', 'geomorphologic', 'formations', 'is', 'Warsaw', 'on']","['How', 'many', 'geomorphologic', 'formations', 'be', 'I', 'meant', 'is', 'Warsaw', 'on']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
 Who did the US refuse aid to to fight against the Soviet Union,to fight against the Soviet Union Who did the US refuse aid to,"['to', 'fight', 'against', 'the', 'Soviet', 'Union', 'Who', 'did', 'the', 'US', 'refuse', 'aid', 'to']","['Who', 'did', 'the', 'US', 'refuse', 'aid', 'to', 'to', 'fight', 'against', 'the', 'Soviet', 'Union']",Who fare I meant did the US refuse aid to to fight against the Soviet Union,"['Who', 'did', 'the', 'US', 'refuse', 'aid', 'to', 'to', 'fight', 'against', 'the', 'Soviet', 'Union']","['Who', 'fare', 'I', 'meant', 'did', 'the', 'US', 'refuse', 'aid', 'to', 'to', 'fight', 'against', 'the', 'Soviet', 'Union']","['F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When was the American Philosophical Society created,Where I mean when was the American Philosophy Society created,"['Where', 'I', 'mean', 'when', 'was', 'the', 'American', 'Philosophy', 'Society', 'created']","['When', 'was', 'the', 'American', 'Philosophical', 'Society', 'created']",When was the American Philosophical Society found no i meant to say created,"['When', 'was', 'the', 'American', 'Philosophical', 'Society', 'created']","['When', 'was', 'the', 'American', 'Philosophical', 'Society', 'found', 'no', 'i', 'meant', 'to', 'say', 'created']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F']",verb_with_cue,2,N/A
What religions schools does the t parochial schools generally refer to,Along with Muslims what religious group what religions schools does the t ,"['Along', 'with', 'Muslims', 'what', 'religious', 'group', 'what', 'religions', 'schools', 'does', 'the', 't']","['What', 'religions', 'schools', 'does', 'the', 't', 'parochial', 'schools', 'generally', 'refer', 'to']",What religions schools do well I actually mean does the t parochial schools generally refer to,"['What', 'religions', 'schools', 'does', 'the', 't', 'parochial', 'schools', 'generally', 'refer', 'to']","['What', 'religions', 'schools', 'do', 'well', 'I', 'actually', 'mean', 'does', 'the', 't', 'parochial', 'schools', 'generally', 'refer', 'to']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Who was Iqbal a critic of,Who was Johar a critic of no no um Iqbal,"['Who', 'was', 'Johar', 'a', 'critic', 'of', 'no', 'no', 'um', 'Iqbal']","['Who', 'was', 'Iqbal', 'a', 'critic', 'of']",Who be I mean Who was Iqbal a critic of,"['Who', 'was', 'Iqbal', 'a', 'critic', 'of']","['Who', 'be', 'I', 'mean', 'Who', 'was', 'Iqbal', 'a', 'critic', 'of']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is the English translation of Kunskapsskolan,Kunskapsskolan into what in English,"['Kunskapsskolan', 'into', 'what', 'in', 'English']","['What', 'is', 'the', 'English', 'translation', 'of', 'Kunskapsskolan']",What be wait is the English translation of Kunskapsskolan,"['What', 'is', 'the', 'English', 'translation', 'of', 'Kunskapsskolan']","['What', 'be', 'wait', 'is', 'the', 'English', 'translation', 'of', 'Kunskapsskolan']","['F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Which plateau is the left part of Warsaw on,Where is the left part of Warsaw like on which plateau is it,"['Where', 'is', 'the', 'left', 'part', 'of', 'Warsaw', 'like', 'on', 'which', 'plateau', 'is', 'it']","['Which', 'plateau', 'is', 'the', 'left', 'part', 'of', 'Warsaw', 'on']",Which plateau be well I actually meant plateau is the left part of Warsaw on,"['Which', 'plateau', 'is', 'the', 'left', 'part', 'of', 'Warsaw', 'on']","['Which', 'plateau', 'be', 'well', 'I', 'actually', 'meant', 'plateau', 'is', 'the', 'left', 'part', 'of', 'Warsaw', 'on']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is the name of the student improvisational theater troupe,What is the name of the Recognized Student Organizations no the student improvisational theater troupe,"['What', 'is', 'the', 'name', 'of', 'the', 'Recognized', 'Student', 'Organizations', 'no', 'the', 'student', 'improvisational', 'theater', 'troupe']","['What', 'is', 'the', 'name', 'of', 'the', 'student', 'improvisational', 'theater', 'troupe']",What be no wait a minute is the name of the student improvisational theater troupe,"['What', 'is', 'the', 'name', 'of', 'the', 'student', 'improvisational', 'theater', 'troupe']","['What', 'be', 'no', 'wait', 'a', 'minute', 'is', 'the', 'name', 'of', 'the', 'student', 'improvisational', 'theater', 'troupe']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Why did Vilnius become the capital of the Commonwealth,When did Why did Vilnius become the capital of the Commonwealth,"['When', 'did', 'Why', 'did', 'Vilnius', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth']","['Why', 'did', 'Vilnius', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth']",Why do I am sorry Why did Vilnius become the capital of the Commonwealth,"['Why', 'did', 'Vilnius', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth']","['Why', 'do', 'I', 'am', 'sorry', 'Why', 'did', 'Vilnius', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is another plague thot to have spread the same way,Where or no make that what plague thot to have spread the same way,"['Where', 'or', 'no', 'make', 'that', 'what', 'plague', 'thot', 'to', 'have', 'spread', 'the', 'same', 'way']","['What', 'is', 'another', 'plague', 'thot', 'to', 'have', 'spread', 'the', 'same', 'way']",What is another plague thot to have spread out no to have spread the same way,"['What', 'is', 'another', 'plague', 'thot', 'to', 'have', 'spread', 'the', 'same', 'way']","['What', 'is', 'another', 'plague', 'thot', 'to', 'have', 'spread', 'out', 'no', 'to', 'have', 'spread', 'the', 'same', 'way']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Where did Maududi exert the most impact,When did Maududi I mean where did he exert the most impact,"['When', 'did', 'Maududi', 'I', 'mean', 'where', 'did', 'he', 'exert', 'the', 'most', 'impact']","['Where', 'did', 'Maududi', 'exert', 'the', 'most', 'impact']",Where do well I actually meant Where did Maududi exert the most impact,"['Where', 'did', 'Maududi', 'exert', 'the', 'most', 'impact']","['Where', 'do', 'well', 'I', 'actually', 'meant', 'Where', 'did', 'Maududi', 'exert', 'the', 'most', 'impact']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
From whom were the movement that Eliot followed derived,What conviction or like tell me from whom were the movement that Eliot followed derived,"['What', 'conviction', 'or', 'like', 'tell', 'me', 'from', 'whom', 'were', 'the', 'movement', 'that', 'Eliot', 'followed', 'derived']","['From', 'whom', 'were', 'the', 'movement', 'that', 'Eliot', 'followed', 'derived']",From whom personify well I actually meant whom were the movement that Eliot followed derived,"['From', 'whom', 'were', 'the', 'movement', 'that', 'Eliot', 'followed', 'derived']","['From', 'whom', 'personify', 'well', 'I', 'actually', 'meant', 'whom', 'were', 'the', 'movement', 'that', 'Eliot', 'followed', 'derived']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is included in Medication Therapy Management,What isnt included in Medication Therapy Management or rather what is,"['What', 'isnt', 'included', 'in', 'Medication', 'Therapy', 'Management', 'or', 'rather', 'what', 'is']","['What', 'is', 'included', 'in', 'Medication', 'Therapy', 'Management']",What be no i meant to say is included in Medication Therapy Management,"['What', 'is', 'included', 'in', 'Medication', 'Therapy', 'Management']","['What', 'be', 'no', 'i', 'meant', 'to', 'say', 'is', 'included', 'in', 'Medication', 'Therapy', 'Management']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Colonialism often means a country doing what,Colonialism often means a country doing which um I mean what,"['Colonialism', 'often', 'means', 'a', 'country', 'doing', 'which', 'um', 'I', 'mean', 'what']","['Colonialism', 'often', 'means', 'a', 'country', 'doing', 'what']",Colonialism often means a country do sorry doing what,"['Colonialism', 'often', 'means', 'a', 'country', 'doing', 'what']","['Colonialism', 'often', 'means', 'a', 'country', 'do', 'sorry', 'doing', 'what']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F']",verb_with_cue,2,N/A
What were show made out of,How were or no  make that what were show made of,"['How', 'were', 'or', 'no', 'make', 'that', 'what', 'were', 'show', 'made', 'of']","['What', 'were', 'show', 'made', 'out', 'of']",What be wait were show made out of,"['What', 'were', 'show', 'made', 'out', 'of']","['What', 'be', 'wait', 'were', 'show', 'made', 'out', 'of']","['F', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When was Greek and Indian literature destroyed by conquests,When was Muslim or no make that Greek and Indian literature destroyed by conquests,"['When', 'was', 'Muslim', 'or', 'no', 'make', 'that', 'Greek', 'and', 'Indian', 'literature', 'destroyed', 'by', 'conquests']","['When', 'was', 'Greek', 'and', 'Indian', 'literature', 'destroyed', 'by', 'conquests']",When was Greek and Indian literature destroy no i meant to say Indian literature destroyed by conquests,"['When', 'was', 'Greek', 'and', 'Indian', 'literature', 'destroyed', 'by', 'conquests']","['When', 'was', 'Greek', 'and', 'Indian', 'literature', 'destroy', 'no', 'i', 'meant', 'to', 'say', 'Indian', 'literature', 'destroyed', 'by', 'conquests']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
A decline in Scottish nationalism during the 1960s fueled what,A decline in Scottish nationalism during the 1960s fueled who  rather what,"['A', 'decline', 'in', 'Scottish', 'nationalism', 'during', 'the', '1960s', 'fueled', 'who', 'rather', 'what']","['A', 'decline', 'in', 'Scottish', 'nationalism', 'during', 'the', '1960s', 'fueled', 'what']",A decline in Scottish nationalism during the 1960s extend wait a minute the 1960s fueled what,"['A', 'decline', 'in', 'Scottish', 'nationalism', 'during', 'the', '1960s', 'fueled', 'what']","['A', 'decline', 'in', 'Scottish', 'nationalism', 'during', 'the', '1960s', 'extend', 'wait', 'a', 'minute', 'the', '1960s', 'fueled', 'what']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
